#rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
tig00000051	1	36121	1386	16485	45.6383	3.73891	37.2	0
tig00000052	1	42888	1146	12073	28.1501	2.59003	37.3	123
tig00000053	1	29634	424	8020	27.0635	1.35814	37.2	0
tig00000054	1	126382	9442	61553	48.7039	7.27903	37.3	142
tig00000055	1	23163	772	7532	32.5174	3.20071	37.3	1.32
tig00000056	1	34491	662	9859	28.5843	1.81473	37.6	0.77
tig00000057	1	31439	206	4797	15.2581	0.604631	37.3	1.24
tig00000058	1	91947	6883	40994	44.5844	7.26116	37.3	95.8
tig00000059	1	124616	3806	45243	36.3059	2.95965	37.3	75.8
tig00000060	1	155825	8147	66128	42.4373	5.06308	37.3	148
tig00000061	1	271612	21810	149871	55.1783	7.81109	37.3	125
tig00000062	1	41725	2143	24143	57.8622	4.99159	37.4	0
tig00000063	1	32187	923	23448	72.8493	2.75506	37.1	0
tig00000064	1	535941	31348	269808	50.3429	5.68059	37.2	155
tig00000065	1	18650	464	11100	59.5174	2.38075	36.6	0
tig00000066	1	67709	1933	31635	46.722	2.76502	37.3	59.8
tig00000070	1	36751	4002	34010	92.5417	10.6668	37.4	0
tig00000071	1	42261	4275	39238	92.8468	9.94858	37.4	0.239
tig00000072	1	28790	3907	27715	96.2661	13.3191	37.4	0
tig00000073	1	189134	6817	71818	37.972	3.4785	37.2	77.7
tig00000074	1	32258	2121	31580	97.8982	6.454	37.8	0.601
tig00000076	1	47903	567	9829	20.5185	1.11131	36.9	3.15
tig00000077	1	32369	5946	29029	89.6815	18.0635	37.4	0.858
tig00000078	1	37209	4314	36029	96.8287	11.3331	37.3	0
tig00000079	1	36370	360	6204	17.058	0.936349	37.1	2.12
tig00000080	1	31594	223	5366	16.9842	0.654143	37.2	0
tig00000081	1	40457	8965	38413	94.9477	21.6416	37.2	2.99
tig00000082	1	32419	4508	29210	90.1015	13.5684	37.2	9.9
tig00000085	1	30723	572	7346	23.9104	1.71741	37.2	6.24
tig00000086	1	34899	2957	33953	97.2893	8.32052	37.7	2.5
tig00000087	1	43878	6977	41650	94.9223	15.6065	37.4	0.292
tig00000088	1	33131	3580	31587	95.3397	10.5975	37.5	4.49
tig00000089	1	23465	2930	21892	93.2964	12.2573	37.2	0.435
tig00000090	1	36516	2879	36029	98.6663	7.73907	37.8	1.24
tig00000091	1	32562	5752	31969	98.1789	17.2964	37.2	7.45
tig00000092	1	26228	463	9718	37.052	1.68846	37.4	0
tig00000093	1	42139	3003	35679	84.6698	6.99053	37.5	9.17
tig00000094	1	17239	119	1782	10.337	0.649052	36.5	0
tig00000096	1	38713	707	14364	37.1038	1.73593	37.3	3.97
tig00000097	1	27796	1978	21766	78.3062	7.0004	37.7	1.8
tig00000098	1	38125	7966	35857	94.0511	20.4404	37.2	0.224
tig00000099	1	30344	1237	14423	47.5316	3.9888	37.2	1.03
tig00000100	1	26033	4113	25181	96.7272	15.4721	37.4	0
tig00000101	1	30594	5104	29359	95.9633	16.3553	37.4	0.15
tig00000102	1	27961	3286	22874	81.8068	11.491	37.2	0
tig00000103	1	45193	11207	44039	97.4465	24.2997	37.4	4.21
tig00000104	1	40468	4558	36748	90.8076	10.9787	37.3	0.671
tig00000105	1	41116	6227	38109	92.6865	14.8263	37.3	0
tig00000106	1	40406	7542	38338	94.8819	18.3197	37.3	1.18
tig00000107	1	43673	2637	41922	95.9907	5.91878	37.7	1.16
tig00000110	1	30886	6525	28612	92.6374	20.609	37.2	0.0391
tig00000111	1	48338	3058	22173	45.8707	6.16349	37.4	0.5
tig00000112	1	27519	2183	26852	97.5762	7.7973	37.7	2.34
tig00000113	1	37172	2876	34983	94.1112	7.57021	37.4	1.77
tig00000114	1	34256	1542	29834	87.0913	4.40831	37.8	4.63
tig00000115	1	33325	419	11798	35.4029	1.19364	37.1	0.609
tig00000116	1	40649	273	7551	18.5761	0.628847	37.2	3.74
tig00000117	1	28221	518	9753	34.5594	1.76273	37.3	7.88
tig00000118	1	28922	4974	28277	97.7699	16.8122	37	2.05
tig00000119	1	24929	1643	23087	92.611	6.40575	37.4	0
tig00000120	1	28165	3055	24106	85.5885	10.5615	37.2	0
tig00000121	1	55448	5892	49540	89.345	10.4604	37.6	1.69
tig00000122	1	33362	522	6520	19.5432	1.50111	37.4	0
tig00000123	1	30702	4691	29398	95.7527	14.9835	37.4	2.39
tig00000124	1	36337	6743	35630	98.0543	18.1846	37.4	0
tig00000125	1	460785	13487	138158	29.9832	2.80104	37.1	121
tig00000126	1	36296	3019	35979	99.1266	8.20782	37.7	1.35
tig00000127	1	40786	3830	37199	91.2053	9.17788	37.4	0
tig00000128	1	43059	3298	42111	97.7984	7.53178	37.8	3.02
tig00000129	1	33649	1164	30944	91.9611	3.41035	37.7	0
tig00000130	1	43892	3539	43652	99.4532	7.94541	37.8	1.66
tig00000131	1	26673	2040	25844	96.892	7.53339	37.7	0.25
tig00000132	1	33594	6172	30623	91.1562	17.8802	37.1	0
tig00000133	1	32381	1934	30985	95.6888	5.89296	37.8	2.9
tig00000134	1	36843	5273	34726	94.254	14.0358	37.3	0
tig00000135	1	26001	1768	24609	94.6464	6.69755	37.8	3.46
tig00000136	1	30929	4845	27625	89.3175	15.3366	37.4	0
tig00000137	1	30245	1750	27768	91.8102	5.68897	37.7	1.75
tig00000138	1	23821	3827	19600	82.2803	15.6969	37.2	0.2
tig00000139	1	48023	5746	44619	92.9117	11.7256	37.4	0
tig00000140	1	39165	515	14213	36.2901	1.26692	37.7	0
tig00000141	1	25398	2339	22639	89.1369	9.04552	37.5	0.654
tig00000142	1	37022	4718	28539	77.0866	12.4308	37.3	1.41
tig00000143	1	36389	4934	35374	97.2107	13.3124	37.4	1.96
tig00000145	1	21255	2999	20202	95.0459	13.845	37.3	5.19
tig00000147	1	22258	5186	21437	96.3114	22.6384	37	2.07
tig00000148	1	48336	11718	47367	97.9953	23.7663	37.3	3.72
tig00000149	1	30070	2755	27896	92.7702	8.99764	37.4	0
tig00000150	1	37054	2552	15825	42.7079	6.68039	37.2	0
tig00000151	1	33917	1469	10092	29.755	4.19309	37.2	1.39
tig00000152	1	39126	4815	28818	73.6543	11.9543	37.2	0
tig00000154	1	29506	4047	29044	98.4342	13.3617	37.1	0.567
tig00000155	1	23925	857	8500	35.5277	3.45246	37.8	0
tig00000156	1	36742	6840	35950	97.8444	17.5958	37	1.04
tig00000157	1	38260	3291	35796	93.5599	8.41864	37.5	0.232
tig00000158	1	22917	2794	22105	96.4568	11.9874	37.5	0
tig00000159	1	28561	4557	26479	92.7103	15.6254	37.4	1.18
tig00000160	1	30559	3816	29146	95.3762	12.1912	37.2	0
tig00000161	1	29429	3262	27821	94.536	10.8717	37.4	0.469
tig00000162	1	155505	4477	53508	34.4092	2.76936	37.3	101
tig00000163	1	18912	4388	18778	99.2915	22.8113	37.3	0.0581
tig00000164	1	25677	6590	25490	99.2717	25.1689	37.3	0
tig00000166	1	33553	5119	31724	94.5489	14.9064	37.1	0
tig00000167	1	29301	3454	27103	92.4985	11.5912	37.5	0.0738
tig00000168	1	27253	2795	23836	87.4619	10.0871	37.6	6.57
tig00000169	1	33912	851	11966	35.2854	2.40467	37.2	0
tig00000170	1	39967	1496	20967	52.4608	3.62271	37.4	0.341
tig00000171	1	26661	3430	23121	86.7222	12.6231	37.4	3.2
tig00000172	1	27833	4776	26947	96.8167	16.8443	37.3	0.107
tig00000173	1	36439	9938	36220	99.399	26.7773	37.4	1.36
tig00000174	1	36950	6162	35962	97.3261	16.4059	37.4	0.0828
tig00000175	1	34874	2763	31109	89.204	7.71188	37.2	2.03
tig00000176	1	31372	8366	31029	98.9067	26.1807	37.3	0.061
tig00000177	1	26915	1970	18322	68.0736	7.00903	37.1	4.14
tig00000178	1	25822	759	10689	41.3949	2.83793	37.3	0
tig00000179	1	34100	630	5688	16.6804	1.75452	37	1.62
tig00000181	1	32947	6203	30769	93.3894	18.3684	37.3	1.32
tig00000182	1	36673	3827	28526	77.7847	10.1681	37.3	0
tig00000183	1	31288	10400	31028	99.169	32.5043	37.2	0.785
tig00000185	1	23175	2083	12197	52.63	8.74559	37.3	3.8
tig00000186	1	23714	578	10183	42.9409	2.35169	37.3	0
tig00000187	1	34058	4271	32523	95.493	12.2608	37.4	5.73
tig00000188	1	34782	2257	30784	88.5055	6.33632	37.5	2.15
tig00000189	1	26957	4222	24237	89.9099	15.3097	37.3	0.242
tig00000190	1	37845	9082	34624	91.489	23.5271	37.2	0.365
tig00000192	1	33874	4588	30310	89.4787	13.3233	37.4	2.06
tig00000193	1	30090	1936	17492	58.1323	6.19445	37.3	0
tig00000194	1	37419	2814	34642	92.5786	7.35372	37.3	0.816
tig00000195	1	35240	7650	32767	92.9824	20.9564	36.5	0.1
tig00000196	1	39736	1556	25754	64.8128	3.82386	37.5	0
tig00000197	1	35616	3203	32390	90.9423	8.76884	37.4	0.478
tig00000198	1	34548	3049	31706	91.7738	8.6269	37.3	0
tig00000200	1	50483	6699	48890	96.8445	12.9834	37.4	1.48
tig00000201	1	34933	596	11597	33.1978	1.64449	37	10.3
tig00000202	1	30637	1916	21305	69.5401	6.1208	37.3	1.46
tig00000203	1	36264	2156	20022	55.2118	5.80843	37.3	5.32
tig00000204	1	37998	3192	28861	75.954	8.16654	37.4	19.6
tig00000205	1	43568	4173	28890	66.3101	9.30155	37.2	0
tig00000206	1	33200	2353	19113	57.5693	6.88485	37.2	0.217
tig00000207	1	40980	1472	22949	56.0005	3.4673	37.4	0
tig00000208	1	33809	1604	19079	56.4317	4.61427	37.3	0.477
tig00000210	1	42291	717	13262	31.3589	1.62571	37.3	0
tig00000211	1	35220	2445	27487	78.0437	6.77101	37.2	0.521
tig00000213	1	25744	3553	24474	95.0668	13.487	37.3	2.22
tig00000214	1	35912	1649	19178	53.4028	4.45074	37.3	0
tig00000215	1	44007	1383	19070	43.334	3.05597	37.4	0
tig00000216	1	41303	3557	22899	55.4415	8.42619	37.3	0
tig00000217	1	35006	4510	27234	77.7981	12.5765	37.4	0.113
tig00000218	1	41460	779	15868	38.273	1.81249	37.5	3.6
tig00000219	1	32804	3329	22132	67.4674	9.85267	37.1	1.46
tig00000221	1	35762	1225	18930	52.9333	3.34607	37.5	3.96
tig00000222	1	41592	1073	14897	35.817	2.48086	37.1	46.8
tig00000223	1	35551	5181	24520	68.9713	14.0255	36.8	0.0492
tig00000224	1	35233	2007	15603	44.2852	5.54199	37.2	2.8
tig00000225	1	34100	920	17184	50.393	2.62551	37.3	0
tig00000226	1	39562	2406	35965	90.9079	5.94783	37.3	4.35
tig00000227	1	37130	1426	13269	35.7366	3.69962	37.3	0.894
tig00000228	1	29307	490	9965	34.0021	1.59945	37.2	1.04
tig00000229	1	36262	1252	17352	47.8517	3.38726	37.6	0
tig00000230	1	34318	3872	33142	96.5732	11.0553	37.4	0
tig00000231	1	34974	2746	23069	65.9604	7.61551	37.2	0.836
tig00000232	1	39307	2885	23226	59.0887	7.12952	37.2	0
tig00000233	1	42015	2678	39124	93.1191	6.18332	37.3	0.381
tig00000234	1	42330	1791	27699	65.4359	4.13333	37.4	0.285
tig00000235	1	42948	3014	33500	78.0013	6.85801	37.4	4.23
tig00000236	1	30870	2100	18033	58.4159	6.50596	36.9	10.9
tig00000237	1	34629	2616	32614	94.1812	7.38173	37.4	0
tig00000238	1	31403	405	10432	33.2198	1.21985	37.4	0
tig00000239	1	22685	1399	20758	91.5054	6.01534	37.2	0.729
tig00000240	1	41441	295	6802	16.4137	0.640887	37.2	0
tig00000242	1	32485	2547	14850	45.7134	7.68044	37.4	0.4
tig00000243	1	36252	1817	19430	53.597	4.89452	37.4	1.82
tig00000244	1	30392	854	12695	41.7709	2.70969	37.3	0.896
tig00000245	1	46623	1114	13477	28.9063	2.30191	37.5	0.458
tig00000246	1	33828	747	12786	37.7971	2.1429	37.5	0
tig00000247	1	34421	171	4632	13.4569	0.467505	37	0
tig00000248	1	37247	1904	16743	44.9513	4.97705	37.2	0
tig00000249	1	39684	950	14094	35.5156	2.29178	37.3	0
tig00000250	1	42279	1314	17781	42.0563	3.02935	37.5	0
tig00000251	1	39528	3216	32487	82.1873	7.92276	37.3	132
tig00000252	1	29786	334	5319	17.8574	1.05909	37	0
tig00000253	1	39476	2028	30103	76.2565	5.02242	37.6	0.503
tig00000254	1	35871	576	8763	24.4292	1.54501	37.2	1.33
tig00000256	1	32793	1975	16264	49.596	5.84045	37.4	0.258
tig00000260	1	39907	4941	37618	94.2642	12.1103	37.3	0.31
tig00000261	1	45319	1157	18374	40.5437	2.47406	37.3	0
tig00000262	1	42931	1052	18088	42.1327	2.35406	37.3	0.97
tig00000263	1	52708	4673	49098	93.1509	8.63239	37.3	0.546
tig00000264	1	42663	4240	40117	94.0323	9.73999	37.3	0
tig00000265	1	38109	873	14675	38.508	2.23714	37.3	0.292
tig00000266	1	123914	7086	65799	53.1005	5.56012	37.2	195
tig00000268	1	25320	321	5574	22.0142	1.19878	37.5	20.7
tig00000269	1	39424	3732	23082	58.5481	9.2171	37.2	0
tig00000270	1	30980	697	11335	36.5881	2.1459	37.1	0
tig00000272	1	42660	4462	27560	64.6038	10.2443	37.4	0.686
tig00000273	1	32580	1261	16272	49.9448	3.75258	37.3	0
tig00000274	1	36782	814	9711	26.4015	2.09089	36.9	0
tig00000275	1	32532	833	10771	33.1089	2.43363	37.1	0.612
tig00000276	1	35787	1011	14169	39.5926	2.71526	37.4	1.77
tig00000277	1	30322	1740	26648	87.8834	5.58129	37.4	0.586
tig00000278	1	107983	2802	36116	33.446	2.49782	37.3	154
tig00000279	1	51813	1817	19221	37.0969	3.34966	37.1	0.702
tig00000280	1	43305	1295	19335	44.6484	2.90308	37.2	0
tig00000281	1	35665	860	13483	37.8046	2.30543	37.2	0.593
tig00000282	1	27832	558	10377	37.2844	1.92854	37.5	0.457
tig00000283	1	35429	1708	22995	64.9045	4.71512	37.3	5.37
tig00000284	1	36821	830	7153	19.4264	2.19361	37.3	0
tig00000285	1	46651	1158	14155	30.3423	2.3804	37.2	0.44
tig00000286	1	25561	2607	16911	66.1594	9.96741	37.4	1.17
tig00000287	1	30049	1542	18300	60.9005	4.97927	37.5	0.331
tig00000288	1	27386	535	8903	32.5093	1.84846	37.2	0
tig00000289	1	37976	1015	10786	28.4021	2.60043	37.3	1.51
tig00000290	1	39436	1528	12727	32.2725	3.75063	37.1	2.67
tig00000292	1	34100	306	5237	15.3578	0.839707	37.3	3.33
tig00000294	1	41023	2406	28516	69.5122	5.70811	37.2	0.106
tig00000295	1	37745	1418	15214	40.3073	3.63418	37.4	2.7
tig00000297	1	256591	40113	148826	58.0013	15.2634	37.3	200
tig00000298	1	33244	1217	11976	36.0245	3.54696	37.2	0
tig00000299	1	132254	7120	55177	41.7205	5.22534	37.3	139
tig00000301	1	31299	892	8186	26.1542	2.70868	36.9	0.572
tig00000302	1	351842	11343	118139	33.5773	3.10654	37.2	152
tig00000304	1	35599	3210	27108	76.1482	8.80249	37.4	0
tig00000305	1	31050	795	9327	30.0386	2.46138	37.1	0
tig00000307	1	1036093	94075	495772	47.8501	8.85713	37.3	201
tig00000309	1	287655	10670	130682	45.4301	3.58949	37.3	87.9
tig00000310	1	25454	2235	23163	90.9994	8.55209	37.4	0.57
tig00000311	1	257015	21587	157075	61.1151	8.17941	37.2	204
tig00000312	1	37149	1736	24163	65.0435	4.54384	37.4	2.94
tig00000314	1	38312	2367	33287	86.884	6.06095	37.7	0.862
tig00000315	1	41241	2373	36381	88.2156	5.64627	37.5	0
tig00000316	1	34822	3360	31301	89.8886	9.51861	37.7	4.86
tig00000317	1	35015	2010	29208	83.4157	5.65395	37.6	1.9
tig00000318	1	38872	4455	34348	88.3618	11.2432	37.6	0.172
tig00000320	1	24378	1979	22421	91.9723	7.98425	37.7	0.387
tig00000321	1	29264	2626	25773	88.0707	8.83475	37.6	0
tig00000322	1	35849	2502	30235	84.3399	6.87428	37.6	1.63
tig00000323	1	80323	3011	21491	26.7557	3.61827	37.1	176
tig00000324	1	55124	1372	11257	20.4212	2.41545	37.3	204
tig00000325	1	97801	3020	25995	26.5795	2.97318	37.3	175
tig00000327	1	52443	3063	47122	89.8537	5.71869	37.8	1.58
tig00000329	1	70654	5639	69799	98.7899	7.84376	37.7	2.08
tig00000330	1	41243	3374	40895	99.1562	8.03431	37.7	0.227
tig00000332	1	48905	3685	45044	92.1051	7.39125	37.7	1.25
tig00000333	1	28898	1812	28260	97.7922	6.15887	37.8	1.83
tig00000336	1	43083	11174	42469	98.5748	25.4068	37.3	5.75
tig00000339	1	37323	4050	21915	58.7171	10.6107	37.4	16
tig00000340	1	43986	3135	43034	97.8357	7.00728	37.8	8.05
tig00000342	1	51406	3967	50691	98.6091	7.59322	37.8	0.643
tig00000344	1	40750	3147	39630	97.2515	7.59355	37.7	3.48
tig00000345	1	38273	10623	36857	96.3003	26.9901	37	0.192
tig00000346	1	36293	5575	34798	95.8807	15.0751	37.4	13.1
tig00000348	1	44104	3846	43741	99.1769	8.59008	37.8	2.72
tig00000349	1	34258	7508	33116	96.6665	21.4442	37.2	0.238
tig00000350	1	59811	3959	58948	98.5571	6.51544	37.8	3.54
tig00000351	1	41081	2221	37479	91.232	5.31224	37.8	3.44
tig00000352	1	43897	5963	42866	97.6513	13.2541	37.2	1.63
tig00000353	1	48188	9006	47143	97.8314	18.3267	37.3	2.92
tig00000354	1	35843	2927	35031	97.7346	8.01328	37.7	0.958
tig00000355	1	39203	6276	34318	87.5392	15.6628	37.2	2.68
tig00000356	1	36326	4183	35669	98.1914	11.2609	37.4	1.1
tig00000357	1	36882	5202	34525	93.6093	13.8426	37.4	1.42
tig00000359	1	80084	6916	77869	97.2342	8.50677	37.7	4.9
tig00000361	1	63825	16286	62977	98.6714	25.0044	37.3	10.3
tig00000362	1	50022	3269	49206	98.3687	6.42519	37.7	4.91
tig00000364	1	45950	10829	45105	98.161	22.9459	37.1	0.565
tig00000365	1	58620	12316	57891	98.7564	20.6475	37.4	4.51
tig00000366	1	54701	10677	51236	93.6656	19.1476	37.2	1.82
tig00000367	1	32342	6553	32037	99.057	19.9021	37.5	0.0778
tig00000368	1	48675	8124	45982	94.4674	16.3594	37.3	0.816
tig00000369	1	36758	13545	36136	98.3079	35.8907	37	0.301
tig00000370	1	44688	10660	43513	97.3707	23.4094	37.4	1.12
tig00000371	1	45836	3465	44772	97.6787	7.42111	37.7	4.56
tig00000373	1	42012	3871	40450	96.282	9.02956	37.4	5.67
tig00000374	1	33194	4174	31422	94.6617	12.3242	37.3	12
tig00000375	1	26320	3652	24488	93.0395	13.6231	37.4	5.31
tig00000376	1	34267	4933	30794	89.8649	14.0788	37.3	0.724
tig00000377	1	35786	2687	32425	90.6081	7.38456	37.5	0.19
tig00000378	1	35069	4665	31907	90.9835	13.001	37.3	1.69
tig00000379	1	68773	15239	67664	98.3874	21.693	37.3	0.535
tig00000380	1	49942	8816	48072	96.2557	17.2933	37.3	3.18
tig00000381	1	31842	4843	30744	96.5517	14.9387	37.5	0.158
tig00000382	1	55454	7427	54459	98.2057	13.1206	37.5	2.82
tig00000383	1	59754	8269	58899	98.5691	13.5518	37.5	9.16
tig00000384	1	30422	2784	29021	95.3948	8.99152	37.4	0
tig00000385	1	62923	8030	60460	96.0857	12.5131	37.4	0.127
tig00000386	1	35778	9899	35485	99.1811	27.1524	37.4	3.43
tig00000387	1	54006	15816	52647	97.4836	28.6097	37.3	5.64
tig00000388	1	28146	6168	27711	98.4545	21.4493	37.2	1.32
tig00000389	1	52258	7242	50242	96.1422	13.6057	37.4	2.54
tig00000391	1	63903	8221	58307	91.243	12.5941	37.4	1.36
tig00000392	1	56632	8571	51215	90.4347	14.8782	37.5	1.96
tig00000393	1	36511	5477	35209	96.434	14.6832	37.4	7.54
tig00000394	1	48630	10568	46272	95.1511	21.2961	37.3	1.5
tig00000395	1	33881	3081	29645	87.4974	8.9155	37.3	0.331
tig00000396	1	32041	2335	23318	72.7755	7.13445	37.5	0.437
tig00000399	1	44990	8405	43347	96.3481	18.2652	37.3	4.58
tig00000400	1	38303	4477	37121	96.9141	11.4254	37.3	0
tig00000402	1	41508	12825	41260	99.4025	30.2819	37.2	2.39
tig00000403	1	46634	9767	45426	97.4096	20.1132	37	1.8
tig00000405	1	51272	5325	48717	95.0168	10.1681	37.4	0.0958
tig00000406	1	29434	4802	28163	95.6819	15.9942	37.3	3.82
tig00000407	1	40491	8695	39699	98.044	21.1009	37.5	0.205
tig00000408	1	87993	12391	81934	93.1142	13.7472	37.3	1.54
tig00000409	1	40802	11671	39291	96.2968	27.9067	37.1	0.35
tig00000411	1	47752	8534	45764	95.8368	17.5315	37.4	8.96
tig00000412	1	31570	6451	30845	97.7035	20.0381	37.5	0
tig00000413	1	35007	6658	34303	97.989	18.5607	37.2	8.73
tig00000415	1	54719	8523	53455	97.69	15.269	37.3	8.8
tig00000416	1	33567	6963	32509	96.8481	20.3186	37.3	0.0732
tig00000417	1	42508	13480	40577	95.4573	30.8418	37	0.0378
tig00000418	1	39097	7181	38579	98.6751	17.9712	37.3	0.497
tig00000420	1	46273	10988	44125	95.358	23.2384	37.3	1.07
tig00000421	1	44800	14094	43760	97.6786	30.8065	37.2	0.199
tig00000422	1	53321	9593	52309	98.1021	17.6595	37.4	0.691
tig00000423	1	44387	3752	42056	94.7485	8.29301	37.4	11.8
tig00000427	1	39890	10637	39445	98.8844	25.9794	37.1	1.1
tig00000428	1	29531	3477	25405	86.0282	11.536	37.3	0.88
tig00000429	1	30545	3219	28043	91.8088	10.298	37.4	1.27
tig00000430	1	27671	4758	27357	98.8652	16.8414	37.3	0
tig00000431	1	109816	19691	105947	96.4768	17.4916	37.2	22.7
tig00000432	1	32769	2797	31636	96.5425	8.32134	37.4	2.74
tig00000435	1	41788	10091	38893	93.0722	23.6701	37.3	3.18
tig00000436	1	42666	8449	41260	96.7046	19.3895	37.3	1.6
tig00000437	1	50688	7893	49630	97.9127	15.2767	37.3	0.452
tig00000438	1	52475	6973	50595	96.4173	12.9841	37.3	20.2
tig00000439	1	42974	12857	41645	96.9074	28.9347	37	3.53
tig00000440	1	39751	9882	38847	97.7258	24.2904	37.1	1.11
tig00000441	1	26669	2227	24078	90.2846	8.23274	37.6	0.802
tig00000442	1	30686	3333	29541	96.2687	10.6527	37.4	5.97
tig00000443	1	46725	7766	41238	88.2568	16.2483	37.2	7.29
tig00000444	1	35899	4371	34033	94.8021	11.9708	37.5	1.46
tig00000445	1	43373	1700	18026	41.5604	3.79188	37	0
tig00000446	1	40598	3591	39252	96.6846	8.66151	37.4	2.91
tig00000448	1	38411	3494	35641	92.7885	8.93257	37.3	0
tig00000449	1	33190	4648	32258	97.1919	13.7073	37.3	0
tig00000450	1	88806	12459	84962	95.6715	13.6889	37.2	3.46
tig00000451	1	36942	3111	34703	93.9391	8.2335	37.5	0
tig00000452	1	36832	713	13990	37.9833	1.8756	37.2	0.715
tig00000454	1	52223	4363	49950	95.6475	8.16573	37.3	0.468
tig00000455	1	31497	8407	29182	92.6501	26.0296	36.9	0.091
tig00000456	1	33394	3769	31501	94.3313	11.0785	37.4	0.338
tig00000457	1	41338	7307	38541	93.2338	17.3248	37.2	0.558
tig00000458	1	85901	20771	84742	98.6508	23.6616	37.3	6.52
tig00000459	1	54830	3874	51600	94.1091	6.91906	37.3	0.79
tig00000460	1	34610	4395	32718	94.5334	12.5131	37.6	0.116
tig00000461	1	31595	4227	30081	95.2081	13.0525	37.2	0
tig00000462	1	33460	4733	31943	95.4662	13.866	37.4	1.08
tig00000463	1	33786	1676	10008	29.6217	4.83496	37	0
tig00000464	1	32325	181	5739	17.7541	0.496705	36.3	0
tig00000465	1	31222	538	10878	34.8408	1.65479	37	0
tig00000466	1	35524	892	7663	21.5713	2.351	36.6	0
tig00000467	1	29861	252	4916	16.4629	0.771776	36.5	0
tig00000468	1	69559	6148	66111	95.0431	8.6437	37.3	16.1
tig00000469	1	25588	90	2239	8.7502	0.307879	36.9	5.67
tig00000470	1	26506	155	3724	14.0496	0.545612	37.4	0
tig00000471	1	41173	2198	15906	38.6321	5.11296	36.7	0
tig00000472	1	33185	82	3021	9.10351	0.227181	36.7	0
tig00000474	1	30814	313	4921	15.97	0.917083	36.6	0
tig00000475	1	43325	136	4682	10.8067	0.28367	37.1	0
tig00000476	1	29395	412	8376	28.4946	1.32118	37.2	0
tig00000477	1	34299	552	7966	23.2252	1.54972	37.3	0.924
tig00000478	1	27414	129	2463	8.98446	0.441964	37.6	0
tig00000479	1	39776	664	5816	14.6219	1.62709	37.3	0
tig00000480	1	38960	92	2199	5.64425	0.201155	36.8	5.54
tig00000481	1	30757	1819	24343	79.1462	5.73242	37.4	2.24
